pc4,INWONER_HH,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW_HH,P_LINK_HH,P_HINK_HH,log_median_inc
1829.0,2.2132963988919667,0.4736842105263158,0.5263157894736842,0.13892365456821024,0.1013767209011264,0.18648310387984984,0.2640801001251565,0.3091364205256571,3.7,183.1,260.7,1207.0,90.0,10.0,10.0,2.2,0.11634349030470917,33.0,24.8,10.729853576882297
1831.0,2.2876712328767117,0.500998003992016,0.499001996007984,0.15,0.12,0.2,0.32,0.21,1.4,9.0,76.5,1196.0,80.0,10.0,10.0,2.3,0.2237442922374429,38.3,17.6,10.678214720088496
1832.0,2.5789473684210527,0.5,0.5,0.16326530612244894,0.16326530612244894,0.12244897959183673,0.3673469387755102,0.1836734693877551,0.9,4.0,22.0,57.0,90.0,10.0,0.0,2.6,0.10526315789473684,26.7,31.7,10.600891598132097
1834.0,2.4897119341563787,0.4942148760330578,0.5057851239669422,0.17341040462427745,0.12138728323699419,0.20478943022295626,0.2914946325350949,0.2089182493806772,2.2,17.3,154.5,965.0,90.0,10.0,0.0,2.5,0.1646090534979424,27.2,28.2,10.742897240074328
1841.0,2.4465408805031448,0.4987146529562982,0.5012853470437018,0.18298969072164947,0.11340206185567009,0.2448453608247423,0.3041237113402062,0.15463917525773194,1.7000000000000002,4.1,23.20000000000001,219.0,90.0,10.0,0.0,2.4,0.14465408805031446,30.8,28.1,10.56258457674038
1842.0,2.6122448979591835,0.4883720930232558,0.5116279069767442,0.1484375,0.125,0.140625,0.3359375,0.25000000000000006,1.4,4.5,30.4,116.00000000000001,90.0,0.0,0.0,2.5,0.14285714285714285,26.8,35.1,10.657259354912508
1843.0,2.3559322033898304,0.5107913669064749,0.4892086330935252,0.1510791366906475,0.10071942446043164,0.15827338129496402,0.38129496402877705,0.2086330935251799,0.9,2.0,8.9,75.0,90.0,10.0,0.0,2.3,0.13559322033898305,26.6,32.0,10.611523345589823
1844.0,2.631578947368421,0.46,0.54,0.1836734693877551,0.14285714285714285,0.14285714285714285,0.3673469387755102,0.16326530612244894,0.7,1.9000000000000001,4.1,20.0,90.0,10.0,0.0,2.7,0.15789473684210525,32.15333333333333,25.38333333333333,10.431170293368544
1846.0,2.548387096774193,0.525,0.475,0.1625,0.11249999999999999,0.2,0.3375,0.1875,0.7,1.9000000000000001,6.3,38.0,100.0,0.0,0.0,2.5,0.06451612903225806,30.7,33.3,10.680516217076775
1847.0,2.7058823529411766,0.4782608695652174,0.5217391304347826,0.13333333333333333,0.15555555555555556,0.17777777777777778,0.3555555555555556,0.17777777777777778,0.1,2.1,34.9,44.0,90.0,0.0,10.0,2.6,0.11764705882352941,33.099999999999994,23.203333333333337,10.510532034042662
1851.0,2.2479856759176364,0.5011942675159236,0.4988057324840765,0.14894464356829948,0.12106730386300277,0.1720430107526882,0.32218239745121463,0.23576264436479494,7.7,38.1,138.2,1210.0,90.0,10.0,0.0,2.2,0.144136078782453,29.0,30.6,10.729853576882297
1852.0,2.1867088607594938,0.4848046309696093,0.5151953690303908,0.14898746383799422,0.09594985535197684,0.16923818707810995,0.27627772420443586,0.3095467695274831,4.9,27.800000000000004,87.69999999999996,1430.0,90.0,10.0,10.0,2.2,0.1371308016877637,31.2,26.6,10.60658506394924
1853.0,2.45,0.4795918367346938,0.5204081632653061,0.2551020408163265,0.09183673469387756,0.3469387755102041,0.22448979591836726,0.08163265306122447,1.2,30.1,48.6,1459.0000000000002,90.0,10.0,0.0,2.5,0.1,41.3,24.6,10.584055950889214
1861.0,2.040128410914928,0.4685534591194969,0.5314465408805031,0.11556603773584906,0.10062893081761007,0.10534591194968554,0.3176100628930817,0.36084905660377353,17.8,33.4,73.1,1097.0,80.0,10.0,0.0,2.0,0.11396468699839485,30.0,34.8,10.631036159813403
1862.0,2.1789473684210527,0.4710144927536232,0.5289855072463768,0.13285024154589373,0.11272141706924313,0.13123993558776167,0.28421900161030594,0.3389694041867955,5.8999999999999995,34.7,93.5,1129.0,80.0,10.0,0.0,2.1,0.13508771929824562,36.4,22.8,10.638256407786892
1865.0,1.8421052631578947,0.4571428571428571,0.5428571428571428,0.10144927536231885,0.07246376811594203,0.10144927536231883,0.3478260869565217,0.37681159420289856,10.7,11.000000000000002,12.6,159.0,80.0,10.0,0.0,1.9,0.07894736842105263,32.3,37.5,10.72546760493904
1871.0,2.19811320754717,0.4881974248927039,0.5118025751072961,0.1051502145922747,0.10085836909871244,0.13626609442060084,0.3090128755364807,0.3487124463519313,4.3,18.7,38.40000000000001,429.99999999999994,90.0,10.0,0.0,2.1,0.18160377358490565,31.5,26.799999999999997,10.673595774232203
1873.0,2.1838235294117645,0.4848484848484849,0.5151515151515151,0.12080536912751677,0.12416107382550334,0.14429530201342286,0.3624161073825503,0.24832214765100669,5.6000000000000005,12.700000000000001,23.9,365.0,90.0,10.0,0.0,2.2,0.18382352941176472,32.4,26.000000000000004,10.691944912900398
1901.0,2.241352805534204,0.4916009598902982,0.5083990401097017,0.15118272197463148,0.10935893040795336,0.20020569077819683,0.2896811792937949,0.2495714775454234,20.4,53.2,70.2,1648.0,90.0,10.0,0.0,2.2,0.1491160645657187,30.4,27.0,10.434115803598301
1902.0,2.185840707964602,0.4838150289017341,0.5161849710982659,0.13988439306358383,0.11445086705202312,0.17745664739884393,0.29884393063583803,0.26936416184971096,5.2,51.90000000000001,64.9,1733.0,90.0,10.0,10.0,2.2,0.1276864728192162,28.5,28.6,10.680516217076775
1906.0,2.3834951456310685,0.4989816700610998,0.5010183299389002,0.14120841819416158,0.12898845892735913,0.186693822131704,0.31296673455532925,0.230142566191446,4.199999999999998,9.9,83.1,786.0,90.0,10.0,0.0,2.4,0.10032362459546926,24.5,32.3,10.633448706218788
1911.0,2.4096170970614432,0.5040650406504065,0.4959349593495935,0.16857670979667286,0.1279112754158965,0.22624768946395568,0.299815157116451,0.17744916820702403,5.199999999999998,19.3,58.300000000000004,1093.0,90.0,10.0,10.0,2.4,0.13089937666963491,26.8,28.9,10.261161996807944
1921.0,2.4261501210653758,0.5024925224327019,0.4975074775672981,0.14770459081836326,0.12974051896207586,0.1956087824351297,0.3053892215568863,0.22155688622754488,3.5,7.6999999999999975,23.4,515.0,90.0,10.0,0.0,2.4,0.1089588377723971,25.4,27.6,10.596634733096073
1931.0,2.048780487804878,0.4913419913419914,0.5086580086580087,0.10054054054054054,0.08216216216216216,0.16,0.29081081081081084,0.3664864864864865,32.8,45.7,55.099999999999994,1198.0,90.0,10.0,0.0,1.9,0.13968957871396895,39.6,17.5,10.54006438160768
