,pc4,INWONER,P_MAN,P_VROUW,P_INW_014,P_INW_1524,P_INW_2544,P_INW_4564,P_INW_65PL,AV1_FOOD,AV3_FOOD,AV5_FOOD,OAD,P_NL_ACHTG,P_WE_MIG_A,P_NW_MIG_A,GEM_HH_GR,UITKMINAOW,P_LINK_HH,P_HINK_HH,log_median_inc
2211,6109,840.0,0.49404761904761907,0.5059523809523809,0.10714285714285714,0.09523809523809523,0.21428571428571427,0.31547619047619047,0.26785714285714285,3.7,5.5,90.39999999999999,89.0,90.0,10.0,0.0,2.2,45.0,28.9,21.0,10.338511462885837
2212,6111,615.0,0.5203252032520326,0.4796747967479675,0.12195121951219512,0.0975609756097561,0.21138211382113822,0.34959349593495936,0.21951219512195122,7.5,21.799999999999997,55.400000000000006,238.0,90.0,10.0,0.0,2.4,50.0,33.9,22.8,10.257659366256743
2213,6112,840.0,0.5119047619047619,0.4880952380952381,0.11904761904761904,0.1130952380952381,0.19047619047619047,0.30952380952380953,0.26785714285714285,2.8,16.7,54.400000000000006,198.0,90.0,10.0,0.0,2.5,45.0,36.1,15.4,10.295529640312152
2214,6114,8080.0,0.49814356435643564,0.5018564356435643,0.125,0.0983910891089109,0.18626237623762376,0.33601485148514854,0.25433168316831684,2.7,15.3,57.599999999999994,691.0,80.0,10.0,0.0,2.2,760.0,31.4,15.2,10.348173373797573
2215,6116,1425.0,0.49473684210526314,0.5052631578947369,0.11888111888111888,0.0979020979020979,0.1888111888111888,0.33916083916083917,0.25524475524475526,8.6,26.2,38.800000000000004,170.0,80.0,10.0,0.0,2.2,110.0,28.3,18.6,10.376611309118108
2216,6118,3240.0,0.5,0.5,0.13271604938271606,0.09876543209876543,0.2037037037037037,0.32407407407407407,0.24074074074074073,3.6999999999999997,25.5,45.099999999999994,420.0,80.0,10.0,0.0,2.3,255.0,34.9,21.2,
2217,6121,6005.0,0.4929225645295587,0.5070774354704413,0.15333333333333332,0.105,0.2175,0.31416666666666665,0.21,11.1,19.4,39.6,762.0,80.0,10.0,0.0,2.3,525.0,35.1,19.1,10.416311178964792
2218,6122,1990.0,0.507537688442211,0.49246231155778897,0.1306532663316583,0.09045226130653267,0.21105527638190955,0.314070351758794,0.2537688442211055,4.4,22.5,71.2,773.0,80.0,10.0,0.0,2.1,170.0,36.1,17.2,10.71663752549077
2219,6123,1155.0,0.49783549783549785,0.5021645021645021,0.11206896551724138,0.08620689655172414,0.21120689655172414,0.29310344827586204,0.2974137931034483,49.7,135.4,216.5,389.0,90.0,10.0,0.0,2.1,80.0,62.8,10.0,10.594131602877955
2220,6124,740.0,0.5202702702702703,0.4797297297297297,0.14965986394557823,0.08843537414965986,0.20408163265306123,0.3673469387755102,0.19047619047619047,6.0,92.4,161.9,349.0,90.0,10.0,0.0,2.3,60.0,34.5,26.1,10.555812738575819
